Sample,Class,hsa-let-7a-3p,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-let-7d-3p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-1,hsa-miR-7-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-15b-3p,hsa-miR-15b-5p,hsa-miR-16-2-3p,hsa-miR-16-5p,hsa-miR-17-5p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-20a-5p,hsa-miR-20b-5p,hsa-miR-21-5p,hsa-miR-22-3p,hsa-miR-22-5p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-24-2-5p,hsa-miR-24-3p,hsa-miR-25-3p,hsa-miR-26a-5p,hsa-miR-26b-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-28-3p,hsa-miR-28-5p,hsa-miR-29a-3p,hsa-miR-30a-3p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30e-3p,hsa-miR-30e-5p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-miR-92b-3p,hsa-miR-93-5p,hsa-miR-98-5p,hsa-miR-99a-5p,hsa-miR-99b-5p,hsa-miR-100-5p,hsa-miR-101-3p,hsa-miR-103a-3p,hsa-miR-106b-3p,hsa-miR-106b-5p,hsa-miR-107,hsa-miR-122-5p,hsa-miR-125a-5p,hsa-miR-125b-5p,hsa-miR-126-3p,hsa-miR-126-5p,hsa-miR-128-3p,hsa-miR-130a-3p,hsa-miR-130b-5p,hsa-miR-134-5p,hsa-miR-139-3p,hsa-miR-139-5p,hsa-miR-140-3p,hsa-miR-140-5p,hsa-miR-142-3p,hsa-miR-142-5p,hsa-miR-143-3p,hsa-miR-144-3p,hsa-miR-144-5p,hsa-miR-145-3p,hsa-miR-146a-5p,hsa-miR-146b-5p,hsa-miR-148a-3p,hsa-miR-148a-5p,hsa-miR-148b-3p,hsa-miR-150-5p,hsa-miR-151a-3p,hsa-miR-152-3p,hsa-miR-155-5p,hsa-miR-181a-2-3p,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-181d-5p,hsa-miR-182-5p,hsa-miR-183-5p,hsa-miR-185-3p,hsa-miR-185-5p,hsa-miR-186-5p,hsa-miR-191-5p,hsa-miR-192-5p,hsa-miR-193a-5p,hsa-miR-194-5p,hsa-miR-197-3p,hsa-miR-199a-3p,hsa-miR-199a-5p,hsa-miR-199b-3p,hsa-miR-200a-3p,hsa-miR-200c-3p,hsa-miR-203a,hsa-miR-215-5p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-223-3p,hsa-miR-223-5p,hsa-miR-224-5p,hsa-miR-320a,hsa-miR-320b,hsa-miR-320c,hsa-miR-320d,hsa-miR-323a-3p,hsa-miR-323b-3p,hsa-miR-328-3p,hsa-miR-330-3p,hsa-miR-335-3p,hsa-miR-335-5p,hsa-miR-338-5p,hsa-miR-339-3p,hsa-miR-340-3p,hsa-miR-340-5p,hsa-miR-342-5p,hsa-miR-345-5p,hsa-miR-361-3p,hsa-miR-361-5p,hsa-miR-363-3p,hsa-miR-370-3p,hsa-miR-374a-5p,hsa-miR-375,hsa-miR-378a-3p,hsa-miR-378c,hsa-miR-379-5p,hsa-miR-381-3p,hsa-miR-382-5p,hsa-miR-409-3p,hsa-miR-421,hsa-miR-423-3p,hsa-miR-423-5p,hsa-miR-424-3p,hsa-miR-425-3p,hsa-miR-425-5p,hsa-miR-432-5p,hsa-miR-450a-5p,hsa-miR-450b-5p,hsa-miR-451a,hsa-miR-483-5p,hsa-miR-484,hsa-miR-486-3p,hsa-miR-486-5p,hsa-miR-493-5p,hsa-miR-500a-3p,hsa-miR-501-3p,hsa-miR-502-3p,hsa-miR-503-5p,hsa-miR-532-5p,hsa-miR-543,hsa-miR-550a-5p,hsa-miR-574-5p,hsa-miR-576-3p,hsa-miR-584-5p,hsa-miR-589-5p,hsa-miR-625-3p,hsa-miR-629-5p,hsa-miR-652-3p,hsa-miR-654-3p,hsa-miR-660-5p,hsa-miR-664a-5p,hsa-miR-744-5p,hsa-miR-769-5p,hsa-miR-941,hsa-miR-942-5p,hsa-miR-1180-3p,hsa-miR-1246,hsa-miR-1285-3p,hsa-miR-1301-3p,hsa-miR-1307-3p,hsa-miR-1307-5p,hsa-miR-1908-5p,hsa-miR-2110,hsa-miR-3158-3p,hsa-miR-3613-5p,hsa-miR-3615,hsa-miR-4433b-3p,hsa-miR-4443,hsa-miR-4732-5p,hsa-miR-6842-3p,hsa-miR-7706
1,Control,1.6304622,4.18628263,0.639502171,3.939202903,2.781000369,2.231032072,3.167665218,1.804878387,4.06974939,4.142387897,4.298289584,1.506029074,2.887044206,3.097436721,3.289450729,1.237800168,2.179572335,2.871927854,3.111528421,2.305993074,1.764050661,1.918192616,2.621258367,1.802725217,4.157969916,3.477193047,1.755978269,2.348391613,1.390663859,1.600485785,3.457046208,3.813871102,3.779859606,3.071592387,3.509396997,2.882274788,2.666236373,1.534906077,3.218980423,1.924523302,2.547518505,2.436813593,3.652007195,2.439653257,3.181765468,1.640473714,3.682273486,1.25267114,2.592939147,2.087429972,3.248182998,2.436503311,2.583949486,3.613953937,3.077439469,2.861565922,2.030105081,2.220045889,3.74116472,1.856548794,1.275541406,3.881104968,2.042887032,2.440648805,1.399162717,0.017594361,2.476223932,0.998127059,2.081094453,3.969938095,1.974081958,2.177833255,3.736543839,2.972933823,2.850306463,2.413209076,1.575496327,4.35933627,3.357538885,4.244115095,1.601438215,3.030775914,2.182571169,3.616531423,2.136127636,2.011407807,1.563508957,3.244059679,2.394521466,1.602941211,2.911197497,2.666187327,1.308568179,3.348939369,2.861026384,2.817013069,2.944263579,1.706033657,2.327604303,0.844969406,2.388358674,2.2128546,2.287097151,1.320495232,1.000579666,1.40629193,1.567129724,2.890002705,2.707934653,1.898030737,2.767469612,1.08047725,3.965234273,2.582447252,1.876005381,1.594889203,1.349083704,1.572626341,1.028311425,1.629406593,1.167744342,1.516840296,1.572845192,2.007122809,1.037525508,2.138690453,2.845758175,1.547202831,2.956082566,1.651707013,3.05220561,1.83832332,1.569112796,1.956009,3.111933161,1.752827288,1.495475543,1.930202161,1.956762764,2.012691547,1.111501914,3.054012014,3.754354934,1.365178991,1.836687215,2.295810712,2.101910207,1.057855509,1.056065913,5.086290832,0.68311266,2.337880258,2.173665105,4.392735463,1.168994231,1.512797464,1.880026947,1.596674937,1.267223329,2.915222996,1.075572708,1.25091049,1.025739419,1.644643519,2.82778082,1.769129816,1.77049988,2.870869911,2.248961298,1.782291414,1.524239704,1.826946564,2.390861248,1.709658874,2.006933114,1.440461753,1.680475634,2.242747152,1.360510869,1.48561996,2.260896341,1.36473036,0.487296484,1.978597016,1.868225769,1.137093145,2.138995559,1.542966641,0.89967986,1.404557346,1.528011429,1.031705405
2,Control,1.939558941,3.975203986,1.181827248,3.725716087,2.69375135,2.675460019,2.970325475,1.344444794,4.00009675,3.790741189,4.235417787,2.363794585,2.870912936,3.174519648,3.264865309,1.577620254,2.162370909,3.135184773,2.948247976,2.173631868,1.82130064,1.985091253,2.78012462,1.710216824,4.030523231,3.516269175,1.705801683,2.311260172,1.300116069,1.718935944,3.400432058,3.977119062,3.566333495,3.022358818,3.374537858,2.946569588,2.389171965,1.299439678,2.479079269,1.834728413,2.515057383,2.183105616,3.821163611,2.415163871,3.004816434,1.768189817,3.873085871,1.399916255,2.563698548,2.118652267,3.267912221,2.131506443,2.517502784,3.943362165,3.010701561,2.851501675,2.131954327,2.296307478,4.19401728,1.783037345,1.556577475,3.638263676,1.830654675,3.04210446,1.457798853,1.251411899,2.080985993,1.136670357,1.682827475,3.55075537,1.800176838,2.018992088,3.275926343,3.70848979,2.965859072,1.954263853,2.099363689,3.369255335,2.890814845,4.729059897,1.712524541,3.212913873,1.200889509,3.711291328,2.102461308,1.792753873,1.598019298,3.084946738,2.187140043,1.524624744,2.913575093,2.704484599,1.450196431,3.743484754,2.806560359,3.125968103,3.045545643,2.228031493,2.28182484,1.392991307,2.344597619,1.956851223,2.241483303,1.523772379,1.582301449,1.687374073,1.575599257,2.559748781,2.3706426,2.498716465,3.268048808,1.23417385,3.791662462,2.345081725,1.615204933,1.178288033,1.000407678,0.513112239,1.631067898,1.618990395,1.137732618,1.527948178,1.761818415,1.396634686,1.143094549,2.51120406,1.59838873,1.497565252,2.475064306,1.470383049,2.885627035,1.593344728,1.257264533,1.86185722,3.197314322,1.86492794,1.236827667,1.631282751,1.706028611,2.154533075,1.407066136,3.061455385,3.514995253,1.567444003,1.578902066,2.530825556,1.698843755,1.546357419,1.671676458,5.233960504,0.462191859,2.361305674,2.402709677,4.670145988,1.168994231,1.597087363,2.076654615,1.583182706,1.507087595,2.937841416,1.454120784,1.584722289,0.976850543,2.034962609,2.523332081,1.439307483,1.869120333,2.94510395,1.863467187,1.369721872,1.649952305,1.680022911,2.516155688,1.494602728,2.271017416,1.460660064,1.922778097,2.382088772,1.397187537,1.48561996,2.443196743,1.563590202,1.082340353,2.143514039,2.240901968,1.405152583,2.721675304,0.283812441,1.095914739,1.372441285,1.350387215,1.791916167
3,Cancer,1.855096896,3.970373158,0.948314878,3.798298889,2.556361598,2.545207593,3.119561405,1.508062181,3.984546764,3.763569226,4.187795422,1.47010101,2.726789747,2.889493866,3.086872698,1.236584897,1.897426046,2.951063138,2.469450366,1.999578207,1.226388518,1.388631769,2.508322008,1.432259515,3.911098201,3.552965196,1.695340875,1.905450515,1.36217403,1.436642319,3.121368195,3.635448665,3.556449054,3.052106033,2.986514957,2.624570626,2.28453707,1.299932959,2.541999056,1.739634363,2.21498295,2.062094224,3.480330104,2.275644011,2.746671504,1.659544384,3.683605553,1.307725551,2.331084403,1.862014409,3.107139837,2.171208273,2.088573927,3.621090944,2.95052304,2.459169285,1.965066984,2.360670175,3.586703782,1.721339436,1.367628443,3.584924069,1.553496392,2.819292331,1.252405694,0.954013592,2.295723664,1.167503976,1.719366031,3.346943005,1.308846355,2.057694231,3.082799683,2.808991674,2.814686553,2.053885586,1.525883544,3.447743924,2.920070331,4.216429021,1.380254662,2.796141275,1.797250505,3.263591798,2.037129742,1.998751295,1.629553431,3.02496827,2.416657341,1.213096679,2.717990298,2.472854539,1.176083862,3.521049918,2.459493127,2.974832692,2.773667501,1.810245851,1.986556079,0.748672156,1.796968692,1.754577305,1.671935722,0.280568379,0.812132618,1.331621337,1.532762162,2.407208509,2.127271275,1.457906805,2.566524114,1.000120028,4.194057716,2.774618015,2.075091599,1.729337474,0.468847788,1.14354254,1.548140349,1.440093094,1.070773757,1.521078145,1.459464521,1.540127896,1.201340009,2.186102244,2.173682145,1.35103422,2.445515085,1.432452202,2.875026434,1.34794263,1.280572351,1.594691147,3.176072438,1.882514507,1.214311958,1.282796027,1.634337279,1.838231648,1.111451449,2.975527036,3.818846945,1.385918058,1.371440182,2.305635163,1.45007924,1.13650546,1.336475957,4.88725715,0.463005302,2.445637843,2.420731599,4.760259543,0.895081506,1.480076142,2.257577325,1.622574859,1.213790401,2.472914927,1.285319091,1.249789839,0.856689012,2.195536363,2.594428156,1.018522802,1.437931588,3.086811182,1.76231533,1.181046694,1.454921244,1.693410655,2.187204738,0.910420816,1.924265383,1.345504179,2.007913697,3.041681272,1.67052259,1.367856797,2.118183359,1.668473295,1.0821227,2.163956418,1.685155013,1.204888601,2.727178859,0.824308366,1.314232188,1.574648937,1.247912717,1.517369268
4,Cancer,1.927998443,3.712431973,1.064583529,4.013500209,2.535110979,2.268920396,2.739540346,1.703044418,3.670490556,3.375068804,4.064141491,1.59065473,2.753257372,2.686693885,2.938651024,1.734530896,1.765538682,2.865783293,2.515815505,1.929828301,1.292478769,1.524405471,2.254691958,1.407236299,4.100000325,3.281926904,1.59754019,1.963787092,1.226921048,1.50815503,3.184813518,3.650275887,3.695167287,2.762716843,3.335895949,2.733832721,2.147295499,1.238673683,2.293054108,1.558323539,2.141399192,2.295610234,3.491474745,2.360683239,2.711873337,2.018867059,3.68643283,1.153041906,2.261864767,1.989254964,3.030799868,2.011842936,2.25919974,3.631168191,2.646921924,2.433725064,1.992256699,2.074146453,4.298157374,1.231623414,0.937696992,3.712745206,1.735537871,2.556431394,1.512119221,0.016080881,1.941977272,0.910494206,1.673879053,3.174840523,1.392120412,2.095217772,3.117200901,3.103768299,2.858005225,2.150420013,1.866068209,2.972320002,2.809728837,4.623144931,1.553303276,3.210012125,1.04522109,3.40649649,1.73827408,1.423127718,1.330703644,2.969991598,2.024197516,1.262369021,2.753529175,2.549613484,0.750279731,2.957398159,2.352267863,2.951470981,2.839277535,1.485656777,2.07660727,0.844139657,2.055356302,2.152366976,1.970042807,0.280568379,0.979297794,1.200867845,1.283787162,2.258160157,2.066712403,2.272312014,2.829421708,0.901653918,3.8582252,2.517059842,1.87726491,1.391125235,0.843544588,0.884287269,1.025873194,1.455453369,1.105592133,1.285162607,1.652009794,1.623417367,1.227878525,2.388931765,1.774831084,1.083007988,2.237975162,1.327979658,2.906724151,1.772589623,1.446012444,1.123160469,2.779185693,1.412366228,1.519322359,2.080795134,1.491655052,1.914558921,0.893630786,2.955530736,4.05114978,1.319579657,1.686523127,2.162099347,1.759680165,1.13650546,1.463473691,4.962506082,2.112494495,2.296431281,1.941057772,4.630335986,1.360540168,1.001467143,1.842719161,1.279363937,1.042559197,2.423424708,1.458561468,1.118478521,1.79836442,1.467094831,2.349738216,1.455763317,1.718676958,2.953636135,1.937746488,1.493143505,1.719882388,1.257457263,2.198717067,0.833663955,1.945304261,1.226408614,1.823372262,2.324027967,1.169094147,1.07309706,2.089083392,1.422259202,0.850767388,1.464178616,1.579903431,1.009491069,2.498544121,1.18105874,1.570978743,1.604117848,1.385318319,1.33188232
5,Control,1.314039161,3.908809823,1.181827248,3.612288308,2.428277349,2.526469688,2.981463493,1.72841301,3.831841478,3.426256385,4.014345102,2.112071781,2.538030883,3.142520939,3.239174862,0.987656412,1.325671739,2.612666784,2.234102134,2.017857217,1.322613713,1.321252462,2.27322379,1.128338265,4.099032716,3.160444686,1.505576098,2.097388612,1.139757911,1.329267549,3.254350343,3.367875188,3.910363355,2.758796014,3.058085929,2.703533988,2.556185393,1.551062132,2.096724281,1.558104259,2.188579604,2.459886701,3.739690393,2.459073205,2.56820169,1.427857462,3.722557164,1.021646526,2.233982224,2.217618706,3.183429786,2.517986151,2.096718027,3.070726305,2.888340671,2.498128849,1.450727797,1.60400986,3.647139659,1.941064085,1.498840476,3.645815504,1.943011959,3.097827231,1.354959457,1.720378255,2.39634999,1.364851374,1.818928151,2.930563086,1.540203498,2.043901693,2.712005895,3.141672754,2.199471075,1.778855056,1.751916939,3.401900478,2.940055645,4.279741015,1.269521375,2.934164284,1.509025976,3.69925782,2.133421477,1.792753873,1.470284556,2.786453914,1.957108474,1.412401496,2.213458858,2.062635861,1.178017437,3.285285883,2.205812036,3.223379988,2.512031916,1.568592941,1.673203057,1.253765848,2.273617107,2.380389608,2.180170121,0.572588975,0.908582032,1.243040589,1.575599257,2.52808059,2.061893266,1.898030737,2.830037359,1.577349997,3.818036236,2.266670861,1.605921863,1.296449049,1.081034937,1.421014183,2.248113331,1.877037186,1.708530386,1.569635027,1.728279741,1.540975281,1.379041049,2.190297484,1.65431438,1.2391832,2.374538321,1.615911921,2.434242376,1.751857649,1.257264533,2.07457853,2.840832685,1.376551592,1.612802018,1.939990946,1.93144264,2.478609107,0.893681252,3.164995592,3.561378942,1.386175729,1.324625728,2.218546412,1.937662362,1.097884028,1.178464002,4.220616889,-0.012933694,2.214694138,2.37308746,4.270930156,1.620596482,1.001861681,1.687591823,0.916795513,0.948899384,2.476242701,1.990422402,1.278234377,1.145149257,1.288444998,2.802062162,1.439307483,1.895963608,2.644444388,1.630261473,1.658723338,1.374830012,1.776187502,2.72534571,1.032090052,2.002448477,1.061132722,1.43767315,2.700246119,0.877819545,1.749991885,2.510278595,1.521656594,1.004081848,1.831697798,1.57181866,1.098612955,2.580248531,2.043460086,1.063000545,1.099555909,1.350387215,1.211931665
6,Cancer,1.287380987,4.077304573,1.156600441,3.558420459,2.514999597,2.81202414,3.108336269,2.107406514,4.031403332,3.642669685,4.088083985,1.836755716,2.540670651,3.265314773,3.297412626,1.064031535,1.221329586,2.5804502,2.317912964,2.147183892,1.103048287,1.355236113,2.406592585,1.254752125,4.114537178,3.067501125,1.388988438,2.166184756,1.088049109,1.50815503,3.244482773,3.382908322,3.98292257,2.864021014,2.975908419,2.722471446,2.562419801,1.535399357,2.127033038,1.601175995,2.312903478,2.372045589,3.901337241,2.479085277,2.704840016,1.199766173,3.819164868,1.281082294,2.265595615,2.412704172,3.22074931,2.899705449,2.070688845,3.004815388,3.139307306,2.697573999,1.375983514,1.555126901,3.690488553,2.515204533,1.736043345,3.703186158,1.968647759,3.296542407,0.896927861,2.066780901,2.507229952,1.813829118,2.197869669,2.823710175,1.439825398,2.012217254,2.609895796,3.034630986,1.928448464,1.565698739,1.737548228,3.603521778,3.14989966,4.223385925,1.553303276,2.798527663,1.891744046,3.808580339,2.243799821,2.16232841,1.629553431,2.776899156,1.930588909,1.32685509,2.195367169,2.11081749,1.359318407,3.345823342,2.275724588,3.333218853,2.479980572,1.87374222,1.663519583,1.549485243,2.205923452,2.364978585,2.092351366,1.243154339,1.3286218,1.347466468,1.624420113,2.672391955,2.193772496,1.944874946,2.96660997,1.42175666,3.809333343,2.320177348,1.607181393,1.157067183,1.180582426,1.599363203,2.504673872,2.048238958,1.856184666,1.473423845,1.745082758,1.610610978,1.682259131,2.170504066,1.841771394,1.269210598,2.38369702,1.501388373,2.431509848,2.216779685,1.167505502,2.571527672,2.879994788,1.338641004,1.841368576,1.964298823,2.250341664,2.738521719,1.066524773,3.389606733,3.333644028,1.460950649,1.271389103,2.336343941,2.220052819,1.099962285,0.76476649,4.158274374,-0.012120252,2.426455993,2.47778615,4.191584708,1.608656501,1.292617307,1.721997048,1.115074764,1.184654152,2.629444413,2.158041847,1.189204761,1.288971208,1.309576138,2.754963165,1.345131901,1.857157083,2.48280032,1.581153407,1.719671185,1.139169283,1.802440498,2.888227112,1.235931579,2.134566788,1.15093054,1.469899797,2.606392635,0.519772272,1.916845767,2.889293962,1.520435645,1.445811258,1.849607015,1.471219009,1.056086041,2.484097818,2.123227941,0.717428028,0.892721618,1.713540322,1.349502449
7,Control,1.766383563,3.864422901,1.181827248,4.062680971,2.531932093,2.653716965,3.075805441,1.959765651,3.757052216,3.407203606,4.090007776,2.032661116,2.679473114,3.036101579,3.263922307,1.282638333,1.855466804,3.147260598,2.683499033,2.0360803,1.52412212,1.66378441,2.535248737,1.5391006,4.059742834,3.394328504,1.553855091,2.008441244,1.185703736,1.479396665,3.071642279,3.807425342,3.825821104,2.736202364,3.097787,2.739044535,2.312905223,1.353020099,2.265226417,1.520475667,2.244666162,2.295534951,3.74115833,2.323805784,2.729642723,1.553106848,4.047795936,1.508227357,2.253461272,2.163305453,3.190265396,2.514742568,2.14016304,3.598456518,2.710111855,2.473103136,1.690818985,2.058921239,3.943971158,2.049509835,1.577622869,3.678335828,1.886703813,3.133840629,1.330979048,1.670100025,2.041527829,1.431149198,1.888846424,3.22794966,1.590720971,1.978674844,3.08170093,3.204643792,2.385691203,1.621106316,1.575496327,3.192791865,2.901591482,4.241508242,1.293916038,2.824267622,1.551395826,3.673984368,1.905625881,1.66879876,1.551363108,2.917814092,2.024521226,1.234659516,2.59382569,2.519623562,1.214642359,3.380660015,2.36341019,3.130456799,2.847579159,1.7138361,2.192764962,1.392991307,2.069100741,2.351583318,2.007519351,1.372916368,1.039874152,1.363402272,1.92957795,2.404763553,2.183436716,1.877790274,2.730086679,1.17894336,4.001593727,2.595570073,1.822647898,1.278872807,1.081034937,1.137767288,2.099962108,1.586223008,1.740767167,1.239237909,1.258147773,1.636699889,1.41407986,2.184167073,1.78183361,1.420729052,2.311703298,1.280375317,2.808743526,1.66822378,1.061414088,2.409837965,2.779078553,1.376551592,1.603338493,1.935123446,1.777550413,2.372844247,0.815937692,3.035522744,3.910118434,1.606008395,1.535822743,2.460892058,1.9927708,1.097884028,1.056065913,4.965016467,0.286837154,2.340062956,2.589741115,4.760770591,1.13350577,1.001861681,2.10580781,1.188221233,1.314194817,2.614043547,1.960626632,1.32810057,1.565040213,1.579839573,2.583871075,1.345289781,1.679034806,2.817807407,1.563565643,1.567050765,1.456161181,1.59053991,2.585016384,1.032090052,2.181555776,1.292804294,2.04647646,2.14607993,1.298715193,1.681806429,2.555766765,1.563590202,1.231845226,1.99495181,2.051964598,1.098612955,2.646703815,1.607820424,0.946474508,1.764708989,1.385451941,1.720017654
8,Cancer,1.428627406,3.956904217,1.277109865,3.985089092,2.722939808,3.093043649,2.961631493,2.487403933,3.71059171,3.301167033,3.929634842,1.715891779,2.940220748,3.536837381,3.816228056,1.186460094,0.960704333,2.55763581,1.84341872,1.645396247,0.458193185,1.388631769,1.74461369,0.166892074,4.012268802,3.599171836,1.672914192,1.83810588,1.299770328,1.451949933,3.049759086,3.189539356,3.851187573,2.705982395,2.997680503,2.833598846,2.4217424,1.518609572,2.512251692,1.968759119,2.440325024,2.361305082,3.670732174,2.508293813,2.487022185,1.376295267,3.821883844,1.846443866,1.891002775,2.112739222,3.626097012,2.984302314,2.588969825,3.04298592,2.574787913,2.419394188,1.125761231,1.797225258,4.379993752,2.726768098,2.020660884,3.887876023,1.943006129,3.16811059,1.187732864,1.741944535,2.390683193,1.693998111,2.289768654,2.572695145,1.277061238,2.029319291,2.584996086,2.634236006,2.092379595,1.179023004,1.623491118,3.153023276,3.01127426,3.888043298,0.825733164,2.645630958,2.042670911,3.504381608,1.857438341,2.16232841,1.7535873,2.972451616,2.326125896,1.52842309,2.426699437,2.519635406,0.458519484,2.930719369,2.253408031,2.950804473,2.627898441,1.894737926,1.780624521,1.140688801,1.711340539,2.12647367,1.624100066,2.192509214,1.869610073,1.686727314,2.052644479,2.383669315,2.011537078,1.509153202,2.543680978,1.565355155,4.294641272,3.410712259,2.961013067,2.542022484,1.209123013,1.699910208,2.212659137,1.870610684,1.454610824,1.357784432,1.596772962,1.176652208,1.543994045,1.880159219,2.141353229,1.478425154,2.37436643,1.713565946,2.420360299,2.20993631,0.60388501,2.566862346,2.96725254,1.611106978,1.612857256,2.024343501,1.934599384,2.763537589,0.893630786,3.247985268,4.224984174,1.684212399,1.271389103,2.201032461,2.238961875,1.015684289,0.830351907,4.05035985,1.379972457,2.398850183,2.488796606,4.508152338,1.313826574,0.804046397,2.218751073,1.377204104,1.153357754,2.567881013,2.228813049,1.189204761,1.899486027,1.395670379,2.469497442,1.166641636,1.944501421,2.908532953,1.330285385,1.510136485,1.373590075,1.776314078,2.657124453,1.323347167,2.041814757,1.107313049,1.942389272,3.279063497,1.137856468,1.847734851,2.765083093,2.222634132,1.322328499,2.066117154,1.703366767,0.830176882,2.770832589,1.554345491,1.602342713,1.740444107,1.635259879,1.398265864
9,Cancer,2.066629362,4.150712735,0.414765481,3.494868596,2.570001986,2.046710858,2.874643109,1.230655124,4.370660952,4.441273121,4.523566785,1.267530715,3.220959941,2.568953664,2.563366822,1.762912675,2.364362671,2.886962359,3.052509685,2.865039759,1.793075445,1.982771758,3.221234692,2.251710343,4.185401427,3.423756377,1.684275095,2.035567048,1.332087481,1.451949933,3.224781511,3.805333581,3.609796383,3.631139271,3.314546179,2.622346772,2.179222725,1.204408628,2.879610455,1.575977256,2.151313624,2.408624318,3.505144752,2.431972858,3.123312338,2.255944344,3.490385297,1.021575547,3.026305958,2.220425924,2.749033662,1.793546478,1.722127052,4.060898631,3.607304828,2.870182797,2.503831492,2.561298164,3.047103777,1.208597537,0.475378783,3.613192801,1.735537871,2.072493838,1.422515716,0.016080881,1.529200473,-0.07098541,0.902774671,3.74852346,1.461825236,2.333936621,3.693348812,3.012202469,3.354733091,2.998737483,1.654999414,3.742959367,2.919503209,4.461523035,1.317685708,3.117871318,1.284830341,3.070814225,2.0762,1.668617264,1.405875951,3.136256973,2.288005267,1.262369021,3.281840832,2.787616233,1.554046392,3.51799204,2.926964836,3.040083162,3.135227068,1.205296083,2.40139052,0.155573868,2.386413652,1.856707723,2.350318474,0.750302584,0.644967442,1.405645171,1.316665327,2.679753844,2.292516841,2.047258103,2.552959013,0.774709022,3.51700899,2.128018202,1.343978455,1.048861713,-0.016986686,0.619434495,0.693705404,1.141398984,0.291362909,1.809788414,1.306329649,1.65969098,0.94947352,2.588077962,2.064967145,1.237979101,2.267951776,1.485124766,3.288225876,0.831274337,2.082503251,0.454395888,3.162619265,2.164334721,0.931872505,1.238221678,0.970508866,0.97262401,1.254926252,3.110045592,3.182264092,0.970597648,1.772417434,2.252024359,0.757489837,1.13650546,1.83937067,5.085536658,-0.012120252,2.574523881,1.839254856,4.961432594,0.826735862,1.717531061,1.983915445,1.858904823,1.394303475,2.706550294,-0.030170733,0.927120085,0.400681749,2.102308516,2.380305257,1.799876635,1.873860211,3.129185911,2.607486369,0.520813,1.95430318,1.199911384,1.673291332,0.910420816,1.848016647,1.54649629,1.72601166,2.08884561,0.933207268,0.642915381,1.726794466,1.457475583,0.313039655,1.705493478,1.85185177,1.263941951,2.066806413,-0.01544265,0.717428028,1.025613266,1.144356653,1.126352229
10,Control,1.654456516,4.03505743,1.06294409,3.696924385,2.575664939,2.693975303,3.074113018,1.870030636,3.9861231,3.595796237,4.070026935,2.15544119,2.637239161,3.225566484,3.400037095,1.065246806,1.479034231,2.740220016,2.201041009,2.086720778,1.52412212,1.421870813,2.376609915,1.455459084,4.036025294,3.259814041,1.553855091,2.079793938,1.300116069,1.402655154,3.258341855,3.333961077,3.933838054,2.993732912,3.180437159,2.800918295,2.465848769,1.518116292,2.283130982,1.794934288,2.345085797,2.312926709,3.702277683,2.435664751,2.575993484,1.60972864,3.671998295,0.966521136,2.217756443,2.206713508,3.388317744,2.409730501,2.343249529,3.230864656,3.067178986,2.4485274,1.619364611,1.797574663,4.166124121,2.146517314,1.685655759,3.811540688,1.886703813,2.987384666,0.95871726,1.678901813,2.123493076,1.683319368,2.157650988,2.9520857,1.392300449,2.110950898,2.867679102,2.985874777,2.349902769,1.754127679,1.735562329,3.39459905,2.987704293,4.322313663,1.379560363,2.904308435,1.674203423,3.597899088,2.059496473,1.935508596,1.608935048,3.00621798,2.172884366,1.472265072,2.317154395,2.147220504,1.214642359,3.395138334,2.175405455,3.242598166,2.745515449,1.771732488,1.928358584,1.219521179,2.306612748,2.358399534,2.219897818,1.076547081,1.108747219,1.765618265,2.079259574,2.553272569,2.262426809,1.898030737,2.813404721,0.842635337,3.941779906,2.49501873,1.76175187,1.360352488,0.288673039,1.077598928,2.08775,1.89457814,1.756031803,1.579435971,1.88718672,1.556028832,1.476722462,2.357957738,1.858812882,1.2391832,2.320343376,1.563239356,2.489638016,1.519698778,1.061414088,2.19246705,3.049120717,1.610550206,1.483079315,1.569036725,1.770144509,2.205346797,0.893681252,3.096085637,3.483895594,1.365178991,1.393411541,2.234523719,1.763274245,1.199167649,1.431489894,4.376032881,0.286837154,2.344395639,2.500171975,4.317534078,1.287934186,1.172173609,1.870267501,1.026987563,1.120130587,2.443309975,1.075572708,1.350991188,1.109032948,1.515035628,2.802062162,1.323811806,1.777341978,2.754009266,1.701349895,1.369721872,0.850052667,1.706149331,2.57183571,0.91097671,1.979315812,1.00585296,1.589304867,2.903647138,0.934105133,1.742043086,2.426368702,1.491301807,1.178121023,2.006832229,1.256135735,0.898725607,2.504380363,1.79920813,0.638621249,1.099555909,1.4764136,0.948625627
